,เงินทุนรวม,คนงานรวม,แรงม้า
205,8000000.0,9.0,134.0
206,8000000.0,10.0,377.26
207,850000.0,5.0,124.0
208,15000000.0,10.0,60.0
209,16000000.0,4.0,80.71
210,23600000.0,10.0,61.5
211,15500000.0,8.0,140.0
212,23000000.0,20.0,105.0
213,2740000.0,14.0,100.0
214,1400000.0,7.0,90.0
215,9000000.0,11.0,421.0
216,3000000.0,25.0,111.1
217,4000000.0,20.0,215.0
218,6100000.0,14.0,393.6
219,19000000.0,21.0,269.0
220,1200000.0,9.0,684.2431524416136
221,1000000.0,10.0,133.0
222,17000000.0,15.0,345.0
223,29000000.0,11.0,429.35
224,6000000.0,9.0,152.0
226,11080000.0,10.0,144.0
227,15000000.0,12.0,290.0
228,3500000.0,10.0,170.0
229,3000000.0,10.0,155.0
230,8000000.0,4.0,101.0
231,25000000.0,26.0,118.81
232,4300000.0,10.0,75.0
233,18500000.0,15.0,185.0
234,1716000.0,10.0,197.0
235,18100000.0,10.0,160.0
236,6000000.0,10.0,144.0
237,800000.0,5.0,95.0
238,8950000.0,19.0,100.0
239,8000000.0,5.0,115.0
240,6000000.0,10.0,67.0
241,4400000.0,10.0,200.0
242,4850000.0,10.0,95.0
243,12500000.0,19.0,307.0
244,2500000.0,2.0,397.5
245,6000000.0,7.0,70.0
246,6000000.0,10.0,65.0
247,11900000.0,10.0,134.0
248,8000000.0,10.0,212.0
249,4200000.0,20.0,131.0
250,16205000.0,11.0,95.0
251,4500000.0,12.0,122.0
252,10700000.0,6.0,106.0
253,12000000.0,15.0,373.0
254,10540000.0,10.0,460.0
255,9000000.0,15.0,241.0
256,3000000.0,4.0,83.0
257,6000000.0,10.0,60.0
258,17000000.0,15.0,102.0
259,29000000.0,12.0,302.0
260,16000000.0,18.0,71.5
261,10000000.0,10.0,67.0
262,1300000.0,16.0,224.0
263,4576000.0,11.0,95.0
264,1400000.0,7.0,97.0
265,10600000.0,20.0,334.0
266,25000000.0,10.0,657.0
267,19000000.0,11.0,345.0
268,28490000.0,10.0,97.0
269,27000000.0,10.0,280.0
270,3000000.0,10.0,112.0
271,9000000.0,10.0,280.0
272,11500000.0,28.0,211.0
273,13000000.0,20.0,608.0
274,3000000.0,10.0,101.0
275,4300000.0,6.0,90.0
276,4950000.0,10.0,70.0
277,3900000.0,16.0,65.0
278,9000000.0,25.0,245.0
280,6800000.0,10.0,220.0
281,13200000.0,10.0,358.0
282,12000000.0,10.0,207.0
283,4500000.0,5.0,80.0
284,12000000.0,10.0,82.0
285,3900000.0,7.0,55.0
286,2000000.0,13.0,270.0
287,1500000.0,9.0,79.0
288,18500000.0,5.0,80.0
289,14000000.0,9.0,180.0
290,12000000.0,20.0,110.0
291,4500000.0,8.0,192.0
292,5042000.0,15.0,129.0
293,5680000.0,10.0,67.5
294,4100000.0,15.0,95.0
295,5000000.0,10.0,125.0
296,8000000.0,10.0,115.0
297,12000000.0,8.0,157.52
298,10700000.0,6.0,136.0
299,21000000.0,10.0,390.0
301,8400000.0,14.0,140.0
302,7900000.0,15.0,75.0
303,6050000.0,10.0,88.0
304,2100000.0,18.0,130.0
305,16500000.0,10.0,180.0
306,2090000.0,10.0,94.42
307,6100000.0,12.0,200.0
308,2800000.0,12.0,151.0
309,15000000.0,7.0,130.0
310,11900000.0,12.0,505.0
311,4500000.0,7.0,53.0
312,20000000.0,20.0,110.0
313,4000000.0,9.0,111.0
315,10000000.0,12.0,148.94
316,8000000.0,10.0,337.0
317,1500000.0,4.0,86.0
318,23500000.0,7.0,108.0
319,8150000.0,8.0,54.0
320,30000000.0,18.0,686.5
321,20000000.0,10.0,169.0
322,7000000.0,10.0,254.0
323,10500000.0,7.0,134.41
324,6000000.0,6.0,72.06
325,6500000.0,7.0,341.5
326,7000000.0,10.0,254.0
327,2000000.0,7.0,216.88
328,29000000.0,6.0,360.0
329,6000000.0,10.0,103.0
330,15000000.0,10.0,470.0
331,10000000.0,6.0,66.0
332,7000000.0,10.0,122.54
333,11000000.0,17.0,490.0
334,7000000.0,10.0,119.0
335,19000000.0,27.0,123.0
336,24200000.0,20.0,280.0
